pays,annee,pourcentage_victoire,but_mis,but_enc
Germany,1952,66.67,2.6,1.3
Germany,1953,60.0,2.6,1.0
Germany,1954,50.0,2.2,1.4
Germany,1955,41.67,1.8,1.9
Germany,1956,28.57,1.6,2.0
Germany,1957,46.15,1.6,1.8
Germany,1958,53.85,1.8,1.2
Germany,1959,35.71,2.4,1.4
Germany,1960,53.85,2.7,1.3
Germany,1961,76.92,2.3,1.1
Germany,1962,80.0,2.6,1.1
Germany,1963,62.5,2.8,1.2
Germany,1964,33.33,2.1,1.7
Germany,1965,46.15,2.2,1.2
Germany,1966,75.0,2.3,0.6
Germany,1967,75.0,2.4,0.5
Germany,1968,52.63,1.8,0.7
Germany,1969,50.0,1.9,0.7
Germany,1970,53.33,2.1,0.9
Germany,1971,64.71,2.1,0.8
Germany,1972,81.25,2.7,0.5
Germany,1973,70.59,2.2,0.7
Germany,1974,61.11,1.8,0.7
Germany,1975,53.33,1.7,0.7
Germany,1976,57.14,2.3,0.7
Germany,1977,66.67,2.4,0.8
Germany,1978,61.11,1.9,1.0
Germany,1979,68.75,1.9,0.9
Germany,1980,80.0,2.4,0.7
Germany,1981,77.27,2.9,0.9
Germany,1982,63.16,2.5,0.9
Germany,1983,55.56,1.8,0.9
Germany,1984,61.9,1.7,0.9
Germany,1985,50.0,1.6,1.2
Germany,1986,47.37,1.8,1.3
Germany,1987,52.94,1.4,0.8
Germany,1988,50.0,1.2,0.5
Germany,1989,52.94,1.6,0.6
Germany,1990,57.14,2.1,1.0
Germany,1991,73.33,2.0,0.8
Germany,1992,52.38,1.5,1.0
Germany,1993,48.0,1.8,1.2
Germany,1994,71.43,2.2,0.9
Germany,1995,72.73,2.0,0.7
Germany,1996,64.29,2.1,0.7
Germany,1997,68.0,2.2,0.6
Germany,1998,66.67,2.1,0.7
Germany,1999,56.0,1.9,0.9
Germany,2000,48.0,1.8,1.2
Germany,2001,47.83,2.0,1.3
Germany,2002,54.55,2.5,1.3
Germany,2003,50.0,2.1,1.1
Germany,2004,51.85,1.9,1.0
Germany,2005,51.61,2.2,1.3
Germany,2006,57.69,2.8,1.3
Germany,2007,69.57,2.8,0.8
Germany,2008,67.86,2.1,0.9
Germany,2009,66.67,2.3,0.9
Germany,2010,66.67,2.4,0.6
Germany,2011,69.57,2.6,1.0
Germany,2012,62.96,2.5,1.4
Germany,2013,65.38,2.6,1.4
Germany,2014,63.64,2.5,1.2
Germany,2015,52.63,2.1,1.2
Germany,2016,60.0,2.2,0.8
Germany,2017,67.74,2.5,0.7
Germany,2018,56.0,2.2,1.0
Germany,2019,50.0,2.2,1.2
Germany,2020,55.56,2.6,1.4
Germany,2021,58.33,2.7,1.2
Germany,2022,59.09,2.8,0.9
Italy,1930,55.56,2.8,1.6
Italy,1931,61.54,2.5,0.9
Italy,1932,57.14,2.1,1.0
Italy,1933,69.23,2.3,1.1
Italy,1934,72.73,2.7,1.4
Italy,1935,50.0,2.4,1.8
Italy,1936,60.0,2.1,1.3
Italy,1937,63.64,2.0,1.0
Italy,1938,77.78,2.3,0.4
Italy,1939,75.0,2.5,1.4
Italy,1940,58.33,2.0,1.8
Italy,1941,50.0,1.8,1.2
Italy,1942,100.0,4.0,0.0
Italy,1943,100.0,4.0,0.0
Italy,1945,0.0,4.0,4.0
Italy,1946,50.0,3.5,3.0
Italy,1947,80.0,3.0,2.4
Italy,1948,66.67,2.5,2.5
Italy,1949,57.14,2.0,1.6
Italy,1950,57.14,2.0,1.1
Italy,1951,42.86,1.9,0.9
Italy,1952,33.33,1.6,0.9
Italy,1953,37.5,1.1,1.2
Italy,1954,71.43,2.1,1.1
Italy,1955,75.0,1.9,1.2
Italy,1956,54.55,1.2,1.2
Italy,1957,45.45,1.4,1.5
Italy,1958,22.22,1.4,2.1
Italy,1959,0.0,1.4,1.8
Italy,1960,14.29,1.4,1.6
Italy,1961,62.5,3.0,1.6
Italy,1962,88.89,3.6,1.2
Italy,1963,80.0,2.0,0.6
Italy,1964,70.0,1.9,0.6
Italy,1965,53.85,2.4,0.8
Italy,1966,62.5,2.4,0.6
Italy,1967,76.92,2.6,0.4
Italy,1968,58.33,1.9,0.6
Italy,1969,50.0,1.8,0.8
Italy,1970,54.55,2.1,1.0
Italy,1971,54.55,1.8,0.9
Italy,1972,35.71,1.6,1.0
Italy,1973,56.25,1.8,0.6
Italy,1974,53.85,1.2,0.3
Italy,1975,35.71,1.4,0.6
Italy,1976,61.11,2.2,0.9
Italy,1977,68.75,2.3,1.2
Italy,1978,57.14,1.6,0.9
Italy,1979,50.0,1.2,1.1
Italy,1980,64.71,1.6,0.6
Italy,1981,50.0,1.3,0.8
Italy,1982,14.29,0.8,1.2
Italy,1983,15.38,0.8,1.3
Italy,1984,43.75,1.3,0.9
Italy,1985,50.0,1.4,0.6
Italy,1986,61.54,1.5,0.8
Italy,1987,68.75,1.7,0.5
Italy,1988,61.9,1.5,0.5
Italy,1989,57.14,1.4,0.5
Italy,1990,47.06,1.1,0.2
Italy,1991,37.5,1.1,0.5
Italy,1992,44.44,1.4,0.7
Italy,1993,70.59,2.1,0.6
Italy,1994,70.59,1.9,0.6
Italy,1995,66.67,1.6,0.7
Italy,1996,64.71,1.7,0.8
Italy,1997,45.0,1.4,0.8
Italy,1998,50.0,1.6,0.7
Italy,1999,40.0,1.5,0.8
Italy,2000,47.83,1.3,0.7
Italy,2001,65.22,1.4,0.6
Italy,2002,50.0,1.2,0.7
Italy,2003,60.0,1.5,0.6
Italy,2004,66.67,1.7,0.8
Italy,2005,53.85,1.5,0.8
Italy,2006,45.45,1.5,0.8
Italy,2007,57.89,1.6,0.9
Italy,2008,60.87,1.6,0.8
Italy,2009,50.0,1.5,1.0
Italy,2010,45.83,1.5,0.9
Italy,2011,52.38,1.4,0.6
Italy,2012,50.0,1.3,1.0
Italy,2013,34.38,1.6,1.4
Italy,2014,40.74,1.6,1.1
Italy,2015,47.37,1.3,0.8
Italy,2016,48.0,1.5,1.0
Italy,2017,57.69,1.8,0.8
Italy,2018,45.45,1.5,0.8
Italy,2019,61.9,2.2,0.7
Italy,2020,83.33,3.0,0.3
Italy,2021,62.96,2.1,0.4
Italy,2022,53.85,1.8,0.8
Argentina,1930,55.56,1.9,0.7
Argentina,1931,50.0,1.7,0.8
Argentina,1932,50.0,1.3,0.7
Argentina,1933,60.0,1.6,0.8
Argentina,1934,60.0,1.8,1.0
Argentina,1935,57.14,2.1,1.1
Argentina,1936,62.5,2.0,1.1
Argentina,1937,80.0,2.4,0.8
Argentina,1938,88.89,2.7,0.8
Argentina,1939,66.67,2.3,1.3
Argentina,1940,66.67,3.1,1.3
Argentina,1941,75.0,3.0,1.0
Argentina,1942,70.59,2.8,0.9
Argentina,1943,58.33,3.0,1.2
Argentina,1944,50.0,2.5,1.8
Argentina,1945,66.67,3.4,2.1
Argentina,1946,75.0,3.4,1.8
Argentina,1947,91.67,3.8,0.6
Argentina,1948,85.71,4.0,0.6
Argentina,1950,50.0,3.0,1.0
Argentina,1951,50.0,2.0,1.0
Argentina,1952,75.0,1.5,0.8
Argentina,1953,80.0,1.6,0.4
Argentina,1954,60.0,1.4,0.8
Argentina,1955,71.43,3.0,1.3
Argentina,1956,63.64,1.9,0.8
Argentina,1957,62.5,2.0,0.8
Argentina,1958,63.16,2.4,0.8
Argentina,1959,60.0,2.3,1.3
Argentina,1960,68.0,2.5,1.4
Argentina,1961,54.55,2.0,1.4
Argentina,1962,38.46,1.5,1.2
Argentina,1963,53.33,2.2,1.5
Argentina,1964,58.82,2.7,1.5
Argentina,1965,56.25,2.0,0.6
Argentina,1966,36.36,1.2,0.7
Argentina,1967,36.36,1.5,1.3
Argentina,1968,35.0,1.6,1.4
Argentina,1969,26.32,1.3,1.4
Argentina,1970,30.77,1.2,1.2
Argentina,1971,40.0,1.5,1.1
Argentina,1972,45.0,1.5,1.2
Argentina,1973,50.0,1.8,1.3
Argentina,1974,47.37,1.8,1.4
Argentina,1975,53.33,2.6,1.1
Argentina,1976,61.9,2.4,1.0
Argentina,1977,54.17,1.6,1.0
Argentina,1978,58.82,1.8,0.9
Argentina,1979,47.06,1.8,1.2
Argentina,1980,45.0,1.8,1.2
Argentina,1981,53.85,1.9,1.0
Argentina,1982,33.33,1.1,0.9
Argentina,1983,30.77,1.0,0.8
Argentina,1984,30.0,1.0,0.7
Argentina,1985,37.5,1.2,0.8
Argentina,1986,35.71,1.3,1.1
Argentina,1987,22.22,0.8,1.2
Argentina,1988,21.43,1.1,1.4
Argentina,1989,16.67,0.7,1.1
Argentina,1990,18.75,0.6,0.9
Argentina,1991,47.37,1.6,1.0
Argentina,1992,66.67,1.9,0.7
Argentina,1993,54.17,1.3,0.8
Argentina,1994,44.0,1.3,1.0
Argentina,1995,50.0,1.8,0.9
Argentina,1996,43.48,1.8,1.1
Argentina,1997,42.86,1.4,0.9
Argentina,1998,63.64,1.5,0.5
Argentina,1999,63.64,1.7,0.8
Argentina,2000,61.54,1.7,0.9
Argentina,2001,71.43,2.2,0.8
Argentina,2002,61.54,2.2,0.8
Argentina,2003,64.71,1.9,0.8
Argentina,2004,67.74,2.0,0.9
Argentina,2005,57.14,1.8,1.2
Argentina,2006,42.86,1.6,1.5
Argentina,2007,60.0,1.8,1.1
Argentina,2008,57.14,1.6,0.7
Argentina,2009,50.0,1.4,1.1
Argentina,2010,69.57,1.9,1.2
Argentina,2011,56.67,1.9,0.9
Argentina,2012,53.12,1.9,1.0
Argentina,2013,65.22,2.3,1.0
Argentina,2014,60.0,2.2,0.8
Argentina,2015,47.37,1.7,0.7
Argentina,2016,52.0,1.8,0.8
Argentina,2017,58.33,1.9,0.8
Argentina,2018,57.89,1.7,0.8
Argentina,2019,58.33,2.0,0.9
Argentina,2020,57.89,1.8,0.9
Argentina,2021,65.0,1.6,0.4
Argentina,2022,68.18,1.9,0.4
France,1930,21.43,1.5,2.9
France,1931,23.08,1.7,2.7
France,1932,25.0,2.2,3.1
France,1933,21.43,1.8,2.9
France,1934,46.15,2.1,2.2
France,1935,46.15,2.0,1.7
France,1936,36.36,1.2,1.7
France,1937,36.36,1.1,2.1
France,1938,36.36,1.8,2.1
France,1939,62.5,3.0,1.6
France,1940,80.0,2.8,1.2
France,1941,100.0,3.0,2.0
France,1942,0.0,0.0,3.0
France,1943,0.0,0.0,3.0
France,1944,100.0,3.0,1.0
France,1945,20.0,1.4,2.0
France,1946,37.5,1.6,1.6
France,1947,80.0,2.4,1.2
France,1948,63.64,2.5,1.6
France,1949,28.57,1.8,2.2
France,1950,23.08,1.6,2.4
France,1951,27.27,1.8,2.1
France,1952,46.67,1.7,1.3
France,1953,62.5,2.7,1.2
France,1954,50.0,3.2,1.8
France,1955,45.45,1.8,1.5
France,1956,58.33,1.9,1.3
France,1957,45.45,2.5,1.6
France,1958,30.77,2.4,1.4
France,1959,41.67,2.7,1.7
France,1960,46.67,2.6,2.1
France,1961,29.41,1.8,1.8
France,1962,8.33,1.2,1.8
France,1963,15.38,1.5,1.8
France,1964,30.77,1.4,1.5
France,1965,45.45,1.1,1.1
France,1966,38.46,1.4,1.3
France,1967,28.57,1.6,2.1
France,1968,16.67,1.3,2.2
France,1969,27.27,1.2,1.9
France,1970,53.85,1.6,1.2
France,1971,46.67,1.7,1.3
France,1972,42.86,1.5,1.5
France,1973,41.67,1.4,1.2
France,1974,33.33,1.5,1.3
France,1975,33.33,1.2,1.0
France,1976,33.33,1.2,0.8
France,1977,42.86,1.5,0.7
France,1978,62.5,1.7,0.6
France,1979,78.57,2.3,0.7
France,1980,66.67,2.7,0.8
France,1981,42.86,1.9,1.3
France,1982,46.67,1.4,1.3
France,1983,42.86,1.4,0.9
France,1984,73.68,2.0,0.5
France,1985,83.33,2.1,0.4
France,1986,33.33,1.0,0.7
France,1987,16.67,0.6,0.9
France,1988,33.33,1.1,1.1
France,1989,43.75,1.4,0.9
France,1990,66.67,1.6,0.6
France,1991,92.86,2.4,0.6
France,1992,47.06,1.8,1.2
France,1993,36.84,1.4,1.3
France,1994,56.25,1.7,0.8
France,1995,56.25,2.0,0.4
France,1996,66.67,2.0,0.3
France,1997,66.67,1.6,0.5
France,1998,52.63,1.5,0.9
France,1999,59.09,1.5,0.8
France,2000,70.37,1.9,0.8
France,2001,68.97,2.2,0.8
France,2002,69.57,2.4,0.7
France,2003,83.33,2.8,0.5
France,2004,68.97,2.0,0.4
France,2005,50.0,1.5,0.5
France,2006,66.67,1.9,0.6
France,2007,68.18,1.8,0.5
France,2008,50.0,1.3,0.8
France,2009,50.0,1.2,0.9
France,2010,54.55,1.3,0.7
France,2011,52.17,1.3,0.6
France,2012,55.56,1.4,0.6
France,2013,50.0,1.6,0.9
France,2014,54.55,2.0,0.7
France,2015,65.0,2.0,0.8
France,2016,70.37,2.0,1.0
France,2017,71.43,2.1,0.9
France,2018,59.09,1.9,1.0
France,2019,68.18,2.0,0.8
France,2020,78.95,2.4,0.7
France,2021,66.67,2.3,0.8
France,2022,54.55,2.1,0.8
England,1930,63.64,3.5,1.2
England,1931,63.64,3.5,1.6
England,1932,70.0,3.0,1.5
England,1933,60.0,2.2,0.9
England,1934,54.55,2.4,1.1
England,1935,70.0,2.1,1.0
England,1936,50.0,2.0,1.4
England,1937,57.14,3.3,1.6
England,1938,71.43,3.9,1.5
England,1939,54.55,2.8,1.5
England,1940,50.0,1.8,1.2
England,1945,25.0,1.0,1.5
England,1946,53.85,2.5,1.2
England,1947,64.71,3.3,1.1
England,1948,71.43,3.4,0.7
England,1949,71.43,3.1,1.1
England,1950,71.43,3.1,1.6
England,1951,61.54,2.8,1.5
England,1952,57.14,2.6,1.4
England,1953,56.25,2.7,1.7
England,1954,53.33,2.3,2.1
England,1955,57.14,2.5,1.7
England,1956,58.82,2.8,1.2
England,1957,68.75,2.9,1.0
England,1958,57.14,2.8,1.4
England,1959,37.5,2.2,1.8
England,1960,41.18,2.6,1.8
England,1961,52.94,3.4,1.5
England,1962,62.5,3.0,1.1
England,1963,66.67,3.2,1.4
England,1964,55.0,3.0,1.8
England,1965,52.38,2.0,1.3
England,1966,70.0,2.0,0.7
England,1967,76.47,2.3,0.6
England,1968,53.33,1.5,0.7
England,1969,60.0,1.7,0.6
England,1970,68.42,2.1,0.6
England,1971,70.59,2.1,0.5
England,1972,62.5,1.6,0.6
England,1973,47.37,1.6,0.8
England,1974,45.45,1.6,0.8
England,1975,47.37,1.6,0.7
England,1976,57.89,1.9,0.9
England,1977,47.62,1.5,0.9
England,1978,50.0,1.5,0.8
England,1979,68.42,2.1,0.8
England,1980,65.22,2.0,0.8
England,1981,45.45,1.4,1.0
England,1982,47.37,1.8,0.8
England,1983,61.9,2.0,0.4
England,1984,50.0,1.5,0.5
England,1985,43.48,1.6,0.7
England,1986,61.9,1.8,0.5
England,1987,70.59,2.2,0.6
England,1988,35.0,1.4,0.9
England,1989,39.13,1.1,0.6
England,1990,57.89,1.5,0.5
England,1991,65.0,1.6,0.7
England,1992,50.0,1.5,0.8
England,1993,34.78,1.7,1.0
England,1994,47.06,1.9,0.8
England,1995,40.0,1.3,0.7
England,1996,47.62,1.5,0.7
England,1997,69.57,1.7,0.3
England,1998,57.14,1.3,0.4
England,1999,40.0,1.3,0.6
England,2000,33.33,1.2,0.9
England,2001,47.62,1.7,0.9
England,2002,50.0,2.1,1.0
England,2003,52.63,1.8,1.1
England,2004,60.0,1.9,1.0
England,2005,60.0,1.9,1.0
England,2006,70.0,2.0,0.8
England,2007,57.14,2.0,0.7
England,2008,63.64,2.1,0.8
England,2009,71.43,2.5,0.8
England,2010,68.42,2.4,0.8
England,2011,70.59,1.9,0.8
England,2012,59.09,1.8,0.9
England,2013,52.0,2.1,1.0
England,2014,63.64,2.2,0.7
England,2015,75.0,2.2,0.4
England,2016,62.5,1.8,0.7
England,2017,54.17,1.5,0.8
England,2018,60.0,1.5,0.7
England,2019,70.0,2.7,0.8
England,2020,66.67,2.8,0.7
England,2021,74.07,2.4,0.3
England,2022,68.0,2.3,0.5
Spain,1930,85.71,3.1,1.1
Spain,1931,50.0,1.5,1.5
Spain,1932,40.0,1.8,1.8
Spain,1933,60.0,3.8,0.6
Spain,1934,71.43,4.3,0.4
Spain,1935,83.33,3.3,0.8
Spain,1936,50.0,2.3,1.8
Spain,1937,25.0,2.0,2.2
Spain,1938,0.0,0.5,1.5
Spain,1939,0.0,0.0,1.0
Spain,1941,66.67,3.3,1.7
Spain,1942,50.0,2.5,1.7
Spain,1943,33.33,1.7,1.7
Spain,1945,50.0,3.0,2.0
Spain,1946,33.33,2.0,1.7
Spain,1947,0.0,1.0,2.8
Spain,1948,33.33,1.8,2.3
Spain,1949,50.0,2.4,1.4
Spain,1950,42.86,2.7,1.4
Spain,1951,40.0,3.2,1.8
Spain,1952,28.57,2.4,1.3
Spain,1953,44.44,2.3,0.9
Spain,1954,50.0,2.4,1.1
Spain,1955,25.0,1.8,1.6
Spain,1956,16.67,1.5,2.0
Spain,1957,57.14,3.3,1.7
Spain,1958,60.0,3.1,1.5
Spain,1959,55.56,2.9,1.8
Spain,1960,61.54,2.8,1.7
Spain,1961,66.67,2.1,1.1
Spain,1962,60.0,2.0,0.9
Spain,1963,25.0,1.6,1.6
Spain,1964,50.0,1.7,1.4
Spain,1965,60.0,1.7,0.9
Spain,1966,37.5,1.0,0.6
Spain,1967,37.5,0.9,0.6
Spain,1968,33.33,1.1,0.9
Spain,1969,38.46,1.5,0.9
Spain,1970,63.64,1.8,0.7
Spain,1971,63.64,2.2,0.7
Spain,1972,50.0,1.8,0.7
Spain,1973,41.67,1.3,0.9
Spain,1974,45.45,1.4,1.1
Spain,1975,44.44,1.3,0.9
Spain,1976,28.57,1.1,1.0
Spain,1977,55.56,1.0,0.7
Spain,1978,66.67,1.5,0.5
Spain,1979,46.67,1.5,0.9
Spain,1980,11.76,1.0,1.4
Spain,1981,30.43,1.1,1.1
Spain,1982,52.94,1.5,0.9
Spain,1983,66.67,2.6,0.8
Spain,1984,50.0,1.8,0.9
Spain,1985,45.45,1.2,0.8
Spain,1986,68.75,1.6,0.6
Spain,1987,71.43,2.3,1.0
Spain,1988,35.0,1.6,1.3
Spain,1989,42.86,1.5,1.0
Spain,1990,73.33,2.5,0.7
Spain,1991,46.67,1.9,1.5
Spain,1992,35.29,1.2,1.0
Spain,1993,61.11,1.9,0.3
Spain,1994,73.68,2.2,0.7
Spain,1995,63.16,2.0,0.7
Spain,1996,55.0,1.9,0.6
Spain,1997,58.82,1.9,0.6
Spain,1998,61.54,2.1,0.9
Spain,1999,70.59,3.4,0.8
Spain,2000,62.5,2.7,0.9
Spain,2001,60.87,1.8,1.0
Spain,2002,64.71,1.9,0.5
Spain,2003,63.16,2.1,0.5
Spain,2004,62.5,1.9,0.6
Spain,2005,60.0,1.9,0.5
Spain,2006,59.09,2.0,0.7
Spain,2007,68.18,1.6,0.7
Spain,2008,89.29,1.9,0.4
Spain,2009,93.75,2.5,0.5
Spain,2010,84.62,2.7,1.0
Spain,2011,72.73,2.5,1.1
Spain,2012,78.57,2.6,0.5
Spain,2013,75.76,2.4,0.5
Spain,2014,69.23,2.1,0.7
Spain,2015,77.78,1.8,0.4
Spain,2016,66.67,2.0,0.6
Spain,2017,64.0,2.7,0.7
Spain,2018,70.0,3.0,0.9
Spain,2019,70.0,2.8,0.8
Spain,2020,61.11,2.5,0.5
Spain,2021,50.0,1.9,0.7
Spain,2022,58.33,2.0,0.8
Netherlands,1930,9.09,1.8,3.5
Netherlands,1931,30.0,2.1,2.8
Netherlands,1932,60.0,2.1,1.6
Netherlands,1933,40.0,1.4,1.4
Netherlands,1934,50.0,3.1,2.2
Netherlands,1935,72.73,3.8,2.1
Netherlands,1936,60.0,3.4,1.4
Netherlands,1937,50.0,3.0,1.3
Netherlands,1938,45.45,2.9,1.6
Netherlands,1939,44.44,3.4,2.3
Netherlands,1940,42.86,2.9,3.6
Netherlands,1941,33.33,3.0,4.7
Netherlands,1946,50.0,4.0,3.8
Netherlands,1947,62.5,3.2,2.9
Netherlands,1948,55.56,1.9,1.4
Netherlands,1949,45.45,1.8,1.2
Netherlands,1950,25.0,2.0,3.1
Netherlands,1951,10.0,2.8,4.7
Netherlands,1952,10.0,2.6,3.1
Netherlands,1953,9.09,1.1,2.1
Netherlands,1954,21.43,1.2,2.6
Netherlands,1955,37.5,1.7,2.0
Netherlands,1956,64.29,2.0,1.4
Netherlands,1957,53.33,2.3,2.0
Netherlands,1958,56.25,3.4,1.8
Netherlands,1959,53.33,3.7,1.8
Netherlands,1960,33.33,2.4,2.3
Netherlands,1961,28.57,1.9,2.4
Netherlands,1962,30.77,2.2,2.1
Netherlands,1963,35.71,1.7,1.3
Netherlands,1964,28.57,0.9,0.7
Netherlands,1965,25.0,0.8,0.7
Netherlands,1966,33.33,1.4,1.2
Netherlands,1967,35.71,1.8,1.7
Netherlands,1968,23.08,1.1,1.3
Netherlands,1969,33.33,1.0,0.7
Netherlands,1970,45.45,1.2,0.5
Netherlands,1971,60.0,2.3,0.7
Netherlands,1972,80.0,3.8,0.6
Netherlands,1973,66.67,3.2,0.6
Netherlands,1974,64.29,2.6,0.8
Netherlands,1975,53.85,2.0,1.0
Netherlands,1976,50.0,1.9,1.3
Netherlands,1977,75.0,2.0,0.8
Netherlands,1978,84.62,2.1,0.5
Netherlands,1979,66.67,1.9,0.9
Netherlands,1980,29.41,1.1,1.1
Netherlands,1981,29.41,1.1,1.1
Netherlands,1982,46.67,1.6,1.0
Netherlands,1983,50.0,1.9,1.1
Netherlands,1984,54.55,2.0,1.0
Netherlands,1985,60.0,2.0,0.7
Netherlands,1986,53.85,1.3,0.6
Netherlands,1987,56.25,1.7,0.4
Netherlands,1988,60.0,1.8,0.5
Netherlands,1989,57.89,1.4,0.7
Netherlands,1990,46.67,1.7,0.8
Netherlands,1991,46.15,1.6,0.7
Netherlands,1992,52.63,1.7,0.9
Netherlands,1993,55.0,2.4,1.0
Netherlands,1994,64.71,2.9,0.6
Netherlands,1995,57.89,2.2,0.6
Netherlands,1996,55.0,1.9,0.8
Netherlands,1997,55.56,2.2,0.8
Netherlands,1998,60.0,2.3,0.6
Netherlands,1999,29.41,1.8,1.2
Netherlands,2000,39.13,1.9,1.3
Netherlands,2001,62.5,2.4,0.8
Netherlands,2002,70.59,2.4,0.5
Netherlands,2003,66.67,2.1,0.6
Netherlands,2004,50.0,1.9,0.8
Netherlands,2005,53.57,1.8,0.6
Netherlands,2006,66.67,1.8,0.5
Netherlands,2007,68.18,1.6,0.5
Netherlands,2008,70.37,1.9,0.7
Netherlands,2009,65.38,2.0,0.7
Netherlands,2010,71.43,2.2,0.5
Netherlands,2011,71.43,2.7,0.9
Netherlands,2012,54.17,2.4,1.1
Netherlands,2013,56.0,2.4,0.9
Netherlands,2014,50.0,2.1,0.9
Netherlands,2015,42.11,1.6,1.5
Netherlands,2016,45.0,1.7,1.4
Netherlands,2017,59.09,2.0,1.1
Netherlands,2018,57.14,2.0,1.0
Netherlands,2019,55.0,2.2,0.9
Netherlands,2020,55.56,1.9,0.8
Netherlands,2021,58.33,2.2,0.8
Netherlands,2022,68.18,2.8,1.0
Uruguay,1930,25.0,1.0,1.4
Uruguay,1931,0.0,0.5,1.5
Uruguay,1932,25.0,0.5,1.5
Uruguay,1933,33.33,0.8,1.7
Uruguay,1934,20.0,1.0,1.8
Uruguay,1935,42.86,1.3,1.1
Uruguay,1936,57.14,1.3,1.0
